Time,CO2_Temperature_Outlet,CO2_Temperature_Inlet,
2025/04/28 10:52:56.000,-35.259998321533,,
2025/04/28 10:53:07.000,-35.149997711182,-33.829998016357,
2025/04/28 10:53:12.000,-35.259998321533,-33.939998626709,
2025/04/28 10:53:18.000,,-33.829998016357,
2025/04/28 10:53:24.000,-35.149997711182,,
2025/04/28 10:53:34.000,-35.259998321533,,
2025/04/28 10:53:40.000,,-33.939998626709,
2025/04/28 10:54:36.000,-35.149997711182,,
2025/04/28 10:54:41.000,-35.259998321533,,
2025/04/28 10:54:57.000,-35.149997711182,,
2025/04/28 10:55:03.000,-35.259998321533,,
2025/04/28 10:55:09.000,,-33.829998016357,
2025/04/28 10:55:14.000,,-33.939998626709,
2025/04/28 10:55:19.000,-35.149997711182,-33.829998016357,
2025/04/28 10:56:33.000,-35.259998321533,,
2025/04/28 10:56:38.000,-35.149997711182,,
2025/04/28 10:56:44.000,-35.259998321533,,
2025/04/28 10:57:01.000,,-33.939998626709,
2025/04/28 10:57:06.000,,-33.829998016357,
2025/04/28 10:57:12.000,-35.149997711182,,
2025/04/28 10:57:28.000,-35.259998321533,,
2025/04/28 10:57:33.000,-35.149997711182,,
2025/04/28 10:57:45.000,-35.259998321533,,
2025/04/28 10:57:57.000,-35.149997711182,-33.939998626709,
2025/04/28 10:58:08.000,-35.259998321533,-33.829998016357,
2025/04/28 10:58:13.000,-35.149997711182,,
2025/04/28 10:58:30.000,-35.040000915527,,
2025/04/28 10:58:35.000,-35.149997711182,,
2025/04/28 10:58:52.000,-35.259998321533,,
2025/04/28 10:58:58.000,-35.149997711182,,
2025/04/28 10:59:03.000,-35.259998321533,,
2025/04/28 10:59:09.000,-35.149997711182,,
2025/04/28 10:59:21.000,-35.259998321533,,
2025/04/28 10:59:27.000,-35.149997711182,,
2025/04/28 10:59:32.000,-35.259998321533,,
2025/04/28 10:59:38.000,-35.149997711182,,
2025/04/28 10:59:44.000,-35.259998321533,,
2025/04/28 10:59:49.000,,-33.939998626709,
2025/04/28 10:59:54.000,-35.149997711182,,
2025/04/28 11:00:06.000,-35.259998321533,-33.829998016357,
2025/04/28 11:00:12.000,,-33.939998626709,
2025/04/28 11:00:17.000,-35.149997711182,-33.829998016357,
2025/04/28 11:00:23.000,-35.259998321533,-33.939998626709,
2025/04/28 11:00:28.000,,-33.829998016357,
2025/04/28 11:00:33.000,-35.149997711182,-33.939998626709,
2025/04/28 11:00:39.000,-35.259998321533,,
2025/04/28 11:00:50.000,-35.149997711182,,
2025/04/28 11:00:56.000,-35.259998321533,,
2025/04/28 11:01:17.000,-35.149997711182,,
2025/04/28 11:01:28.000,-35.259998321533,-33.829998016357,
2025/04/28 11:01:34.000,-35.149997711182,,
2025/04/28 11:01:52.000,-35.259998321533,,
2025/04/28 11:02:04.000,-35.149997711182,,
2025/04/28 11:02:10.000,-35.259998321533,,
2025/04/28 11:02:15.000,,-33.939998626709,
2025/04/28 11:03:05.000,-35.149997711182,,
2025/04/28 11:03:11.000,-35.259998321533,,
2025/04/28 11:03:37.000,-35.369998931885,,
2025/04/28 11:03:42.000,-35.259998321533,,
2025/04/28 11:03:54.000,-35.369998931885,,
2025/04/28 11:04:05.000,-35.259998321533,,
2025/04/28 11:05:11.000,-35.149997711182,,
2025/04/28 11:05:17.000,-35.259998321533,,
2025/04/28 11:06:20.000,-35.369998931885,,
2025/04/28 11:06:44.000,,-34.04999923706,
2025/04/28 11:06:56.000,-35.259998321533,-33.939998626709,
2025/04/28 11:07:51.000,-35.149997711182,,
2025/04/28 11:07:56.000,-35.259998321533,,
2025/04/28 11:08:19.000,-35.369998931885,,
2025/04/28 11:08:36.000,-35.259998321533,,
2025/04/28 11:08:42.000,-35.369998931885,,
2025/04/28 11:08:48.000,,-34.04999923706,
2025/04/28 11:08:54.000,-35.259998321533,-33.939998626709,
2025/04/28 11:09:00.000,-35.369998931885,-34.04999923706,
2025/04/28 11:09:16.000,-35.479999542236,,
2025/04/28 11:09:22.000,-35.369998931885,,
2025/04/28 11:09:50.000,-35.259998321533,-33.939998626709,
2025/04/28 11:09:56.000,,-34.04999923706,
2025/04/28 11:10:02.000,,-33.939998626709,
2025/04/28 11:10:51.000,-35.369998931885,,
2025/04/28 11:10:56.000,-35.259998321533,,
2025/04/28 11:11:02.000,-35.369998931885,,
2025/04/28 11:11:07.000,-35.259998321533,,
2025/04/28 11:11:18.000,-35.369998931885,,
2025/04/28 11:11:23.000,-35.259998321533,,
2025/04/28 11:11:28.000,-35.369998931885,,
2025/04/28 11:11:45.000,-35.259998321533,,
2025/04/28 11:11:57.000,-35.369998931885,,
2025/04/28 11:12:08.000,,-34.04999923706,
2025/04/28 11:12:14.000,-35.259998321533,-33.939998626709,
2025/04/28 11:12:20.000,-35.369998931885,,
2025/04/28 11:12:26.000,,-34.04999923706,
2025/04/28 11:12:54.000,-35.259998321533,,
2025/04/28 11:13:00.000,-35.369998931885,,
